review_month,issue_category,review_count,previous_month_count,growth_count,growth_rate_percent
2022-03,General mixed feedback,2,3.0,-1.0,-33.33333333333333
2022-04,General mixed feedback,2,2.0,0.0,0.0
2022-05,General mixed feedback,3,2.0,1.0,50.0
2022-06,General mixed feedback,4,3.0,1.0,33.33333333333333
2022-08,General mixed feedback,1,4.0,-3.0,-75.0
2022-09,General mixed feedback,3,1.0,2.0,200.0
2022-10,General mixed feedback,2,3.0,-1.0,-33.33333333333333
2022-11,General mixed feedback,3,2.0,1.0,50.0
2022-12,General mixed feedback,1,3.0,-2.0,-66.66666666666666
2023-01,General mixed feedback,1,1.0,0.0,0.0
2023-02,General mixed feedback,2,1.0,1.0,100.0
2023-03,General mixed feedback,1,2.0,-1.0,-50.0
2005-10,General negative complaint,1,,,
2007-07,General negative complaint,1,1.0,0.0,0.0
2007-12,General negative complaint,1,1.0,0.0,0.0
2008-01,General negative complaint,1,1.0,0.0,0.0
2008-07,General negative complaint,1,1.0,0.0,0.0
2009-12,General negative complaint,1,1.0,0.0,0.0
2010-02,General negative complaint,1,1.0,0.0,0.0
2010-07,General negative complaint,1,1.0,0.0,0.0
2010-10,General negative complaint,1,1.0,0.0,0.0
2010-12,General negative complaint,1,1.0,0.0,0.0
2011-02,General negative complaint,1,1.0,0.0,0.0
2011-04,General negative complaint,1,1.0,0.0,0.0
2012-05,General negative complaint,1,1.0,0.0,0.0
2012-06,General negative complaint,1,1.0,0.0,0.0
2012-09,General negative complaint,1,1.0,0.0,0.0
2013-01,General negative complaint,1,1.0,0.0,0.0
2013-09,General negative complaint,1,1.0,0.0,0.0
2013-10,General negative complaint,1,1.0,0.0,0.0
2013-11,General negative complaint,1,1.0,0.0,0.0
2013-12,General negative complaint,1,1.0,0.0,0.0
2014-02,General negative complaint,1,1.0,0.0,0.0
2014-03,General negative complaint,1,1.0,0.0,0.0
2014-04,General negative complaint,2,1.0,1.0,100.0
2014-05,General negative complaint,2,2.0,0.0,0.0
2014-06,General negative complaint,2,2.0,0.0,0.0
2014-07,General negative complaint,4,2.0,2.0,100.0
2014-08,General negative complaint,1,4.0,-3.0,-75.0
2014-10,General negative complaint,2,1.0,1.0,100.0
2014-11,General negative complaint,2,2.0,0.0,0.0
2014-12,General negative complaint,5,2.0,3.0,150.0
2015-01,General negative complaint,4,5.0,-1.0,-20.0
2015-02,General negative complaint,1,4.0,-3.0,-75.0
2015-03,General negative complaint,6,1.0,5.0,500.0
2015-04,General negative complaint,3,6.0,-3.0,-50.0
2015-05,General negative complaint,6,3.0,3.0,100.0
2015-06,General negative complaint,4,6.0,-2.0,-33.33333333333333
2015-07,General negative complaint,7,4.0,3.0,75.0
2015-08,General negative complaint,4,7.0,-3.0,-42.857142857142854
2015-09,General negative complaint,7,4.0,3.0,75.0
2015-10,General negative complaint,8,7.0,1.0,14.285714285714285
2015-11,General negative complaint,3,8.0,-5.0,-62.5
2015-12,General negative complaint,3,3.0,0.0,0.0
2016-01,General negative complaint,4,3.0,1.0,33.33333333333333
2016-02,General negative complaint,7,4.0,3.0,75.0
2016-03,General negative complaint,6,7.0,-1.0,-14.285714285714285
2016-04,General negative complaint,5,6.0,-1.0,-16.666666666666664
2016-05,General negative complaint,11,5.0,6.0,120.0
2016-06,General negative complaint,7,11.0,-4.0,-36.36363636363637
2016-07,General negative complaint,9,7.0,2.0,28.57142857142857
2016-08,General negative complaint,8,9.0,-1.0,-11.11111111111111
2016-09,General negative complaint,11,8.0,3.0,37.5
2016-10,General negative complaint,7,11.0,-4.0,-36.36363636363637
2016-11,General negative complaint,7,7.0,0.0,0.0
2016-12,General negative complaint,14,7.0,7.0,100.0
2017-01,General negative complaint,14,14.0,0.0,0.0
2017-02,General negative complaint,7,14.0,-7.0,-50.0
2017-03,General negative complaint,8,7.0,1.0,14.285714285714285
2017-04,General negative complaint,13,8.0,5.0,62.5
2017-05,General negative complaint,5,13.0,-8.0,-61.53846153846154
2017-06,General negative complaint,6,5.0,1.0,20.0
2017-07,General negative complaint,13,6.0,7.0,116.66666666666667
2017-08,General negative complaint,6,13.0,-7.0,-53.84615384615385
2017-09,General negative complaint,5,6.0,-1.0,-16.666666666666664
2017-10,General negative complaint,10,5.0,5.0,100.0
2017-11,General negative complaint,10,10.0,0.0,0.0
2017-12,General negative complaint,10,10.0,0.0,0.0
2018-01,General negative complaint,16,10.0,6.0,60.0
2018-02,General negative complaint,12,16.0,-4.0,-25.0
2018-03,General negative complaint,7,12.0,-5.0,-41.66666666666667
2018-04,General negative complaint,9,7.0,2.0,28.57142857142857
2018-05,General negative complaint,15,9.0,6.0,66.66666666666666
2018-06,General negative complaint,7,15.0,-8.0,-53.333333333333336
2018-07,General negative complaint,12,7.0,5.0,71.42857142857143
2018-08,General negative complaint,11,12.0,-1.0,-8.333333333333332
2018-09,General negative complaint,14,11.0,3.0,27.27272727272727
2018-10,General negative complaint,5,14.0,-9.0,-64.28571428571429
2018-11,General negative complaint,9,5.0,4.0,80.0
2018-12,General negative complaint,9,9.0,0.0,0.0
2019-01,General negative complaint,9,9.0,0.0,0.0
2019-02,General negative complaint,10,9.0,1.0,11.11111111111111
2019-03,General negative complaint,8,10.0,-2.0,-20.0
2019-04,General negative complaint,11,8.0,3.0,37.5
2019-05,General negative complaint,15,11.0,4.0,36.36363636363637
2019-06,General negative complaint,15,15.0,0.0,0.0
2019-07,General negative complaint,14,15.0,-1.0,-6.666666666666667
2019-08,General negative complaint,8,14.0,-6.0,-42.857142857142854
2019-09,General negative complaint,10,8.0,2.0,25.0
2019-10,General negative complaint,16,10.0,6.0,60.0
2019-11,General negative complaint,8,16.0,-8.0,-50.0
2019-12,General negative complaint,15,8.0,7.0,87.5
2020-01,General negative complaint,28,15.0,13.0,86.66666666666667
2020-02,General negative complaint,17,28.0,-11.0,-39.285714285714285
2020-03,General negative complaint,8,17.0,-9.0,-52.94117647058824
2020-04,General negative complaint,10,8.0,2.0,25.0
2020-05,General negative complaint,16,10.0,6.0,60.0
2020-06,General negative complaint,18,16.0,2.0,12.5
2020-07,General negative complaint,17,18.0,-1.0,-5.555555555555555
2020-08,General negative complaint,19,17.0,2.0,11.76470588235294
2020-09,General negative complaint,15,19.0,-4.0,-21.052631578947366
2020-10,General negative complaint,23,15.0,8.0,53.333333333333336
2020-11,General negative complaint,9,23.0,-14.0,-60.86956521739131
2020-12,General negative complaint,18,9.0,9.0,100.0
2021-01,General negative complaint,21,18.0,3.0,16.666666666666664
2021-02,General negative complaint,21,21.0,0.0,0.0
2021-03,General negative complaint,19,21.0,-2.0,-9.523809523809524
2021-04,General negative complaint,17,19.0,-2.0,-10.526315789473683
2021-05,General negative complaint,11,17.0,-6.0,-35.294117647058826
2021-06,General negative complaint,24,11.0,13.0,118.18181818181819
2021-07,General negative complaint,18,24.0,-6.0,-25.0
2021-08,General negative complaint,18,18.0,0.0,0.0
2021-09,General negative complaint,10,18.0,-8.0,-44.44444444444444
2021-10,General negative complaint,22,10.0,12.0,120.0
2021-11,General negative complaint,13,22.0,-9.0,-40.909090909090914
2021-12,General negative complaint,17,13.0,4.0,30.76923076923077
2022-01,General negative complaint,6,17.0,-11.0,-64.70588235294117
2022-02,General negative complaint,12,6.0,6.0,100.0
2022-03,General negative complaint,5,12.0,-7.0,-58.333333333333336
2022-04,General negative complaint,8,5.0,3.0,60.0
2022-05,General negative complaint,14,8.0,6.0,75.0
2022-06,General negative complaint,7,14.0,-7.0,-50.0
2022-07,General negative complaint,3,7.0,-4.0,-57.14285714285714
2022-08,General negative complaint,11,3.0,8.0,266.66666666666663
2022-09,General negative complaint,5,11.0,-6.0,-54.54545454545454
2022-10,General negative complaint,7,5.0,2.0,40.0
2022-11,General negative complaint,6,7.0,-1.0,-14.285714285714285
2022-12,General negative complaint,5,6.0,-1.0,-16.666666666666664
2023-01,General negative complaint,5,5.0,0.0,0.0
2023-02,General negative complaint,8,5.0,3.0,60.0
2023-03,General negative complaint,2,8.0,-6.0,-75.0
2007-11,Packaging or delivery issue,1,,,
2009-05,Packaging or delivery issue,1,1.0,0.0,0.0
2010-07,Packaging or delivery issue,1,1.0,0.0,0.0
2011-02,Packaging or delivery issue,1,1.0,0.0,0.0
2011-07,Packaging or delivery issue,1,1.0,0.0,0.0
2011-11,Packaging or delivery issue,2,1.0,1.0,100.0
2012-01,Packaging or delivery issue,1,2.0,-1.0,-50.0
2012-04,Packaging or delivery issue,1,1.0,0.0,0.0
2012-05,Packaging or delivery issue,1,1.0,0.0,0.0
2013-01,Packaging or delivery issue,2,1.0,1.0,100.0
2013-06,Packaging or delivery issue,2,2.0,0.0,0.0
2013-08,Packaging or delivery issue,1,2.0,-1.0,-50.0
2013-10,Packaging or delivery issue,2,1.0,1.0,100.0
2013-11,Packaging or delivery issue,1,2.0,-1.0,-50.0
2014-01,Packaging or delivery issue,2,1.0,1.0,100.0
2014-02,Packaging or delivery issue,2,2.0,0.0,0.0
2014-04,Packaging or delivery issue,1,2.0,-1.0,-50.0
2014-06,Packaging or delivery issue,1,1.0,0.0,0.0
2014-08,Packaging or delivery issue,1,1.0,0.0,0.0
2014-10,Packaging or delivery issue,4,1.0,3.0,300.0
2015-01,Packaging or delivery issue,4,4.0,0.0,0.0
2015-02,Packaging or delivery issue,1,4.0,-3.0,-75.0
2015-03,Packaging or delivery issue,3,1.0,2.0,200.0
2015-04,Packaging or delivery issue,1,3.0,-2.0,-66.66666666666666
2015-05,Packaging or delivery issue,3,1.0,2.0,200.0
2015-07,Packaging or delivery issue,2,3.0,-1.0,-33.33333333333333
2015-08,Packaging or delivery issue,3,2.0,1.0,50.0
2015-09,Packaging or delivery issue,3,3.0,0.0,0.0
2015-10,Packaging or delivery issue,3,3.0,0.0,0.0
2015-11,Packaging or delivery issue,4,3.0,1.0,33.33333333333333
2015-12,Packaging or delivery issue,2,4.0,-2.0,-50.0
2016-01,Packaging or delivery issue,5,2.0,3.0,150.0
2016-02,Packaging or delivery issue,4,5.0,-1.0,-20.0
2016-03,Packaging or delivery issue,7,4.0,3.0,75.0
2016-04,Packaging or delivery issue,4,7.0,-3.0,-42.857142857142854
2016-05,Packaging or delivery issue,3,4.0,-1.0,-25.0
2016-06,Packaging or delivery issue,2,3.0,-1.0,-33.33333333333333
2016-07,Packaging or delivery issue,5,2.0,3.0,150.0
2016-08,Packaging or delivery issue,3,5.0,-2.0,-40.0
2016-09,Packaging or delivery issue,2,3.0,-1.0,-33.33333333333333
2016-10,Packaging or delivery issue,5,2.0,3.0,150.0
2016-11,Packaging or delivery issue,3,5.0,-2.0,-40.0
2016-12,Packaging or delivery issue,6,3.0,3.0,100.0
2017-01,Packaging or delivery issue,8,6.0,2.0,33.33333333333333
2017-02,Packaging or delivery issue,4,8.0,-4.0,-50.0
2017-03,Packaging or delivery issue,4,4.0,0.0,0.0
2017-04,Packaging or delivery issue,3,4.0,-1.0,-25.0
2017-05,Packaging or delivery issue,6,3.0,3.0,100.0
2017-06,Packaging or delivery issue,3,6.0,-3.0,-50.0
2017-07,Packaging or delivery issue,8,3.0,5.0,166.66666666666669
2017-08,Packaging or delivery issue,7,8.0,-1.0,-12.5
2017-09,Packaging or delivery issue,3,7.0,-4.0,-57.14285714285714
2017-10,Packaging or delivery issue,2,3.0,-1.0,-33.33333333333333
2017-11,Packaging or delivery issue,5,2.0,3.0,150.0
2017-12,Packaging or delivery issue,5,5.0,0.0,0.0
2018-01,Packaging or delivery issue,8,5.0,3.0,60.0
2018-02,Packaging or delivery issue,5,8.0,-3.0,-37.5
2018-03,Packaging or delivery issue,10,5.0,5.0,100.0
2018-04,Packaging or delivery issue,5,10.0,-5.0,-50.0
2018-05,Packaging or delivery issue,5,5.0,0.0,0.0
2018-06,Packaging or delivery issue,1,5.0,-4.0,-80.0
2018-07,Packaging or delivery issue,6,1.0,5.0,500.0
2018-08,Packaging or delivery issue,7,6.0,1.0,16.666666666666664
2018-09,Packaging or delivery issue,2,7.0,-5.0,-71.42857142857143
2018-10,Packaging or delivery issue,4,2.0,2.0,100.0
2018-11,Packaging or delivery issue,5,4.0,1.0,25.0
2018-12,Packaging or delivery issue,6,5.0,1.0,20.0
2019-01,Packaging or delivery issue,8,6.0,2.0,33.33333333333333
2019-02,Packaging or delivery issue,5,8.0,-3.0,-37.5
2019-03,Packaging or delivery issue,2,5.0,-3.0,-60.0
2019-04,Packaging or delivery issue,5,2.0,3.0,150.0
2019-05,Packaging or delivery issue,9,5.0,4.0,80.0
2019-06,Packaging or delivery issue,5,9.0,-4.0,-44.44444444444444
2019-07,Packaging or delivery issue,5,5.0,0.0,0.0
2019-08,Packaging or delivery issue,5,5.0,0.0,0.0
2019-09,Packaging or delivery issue,9,5.0,4.0,80.0
2019-10,Packaging or delivery issue,4,9.0,-5.0,-55.55555555555556
2019-11,Packaging or delivery issue,8,4.0,4.0,100.0
2019-12,Packaging or delivery issue,7,8.0,-1.0,-12.5
2020-01,Packaging or delivery issue,13,7.0,6.0,85.71428571428571
2020-02,Packaging or delivery issue,9,13.0,-4.0,-30.76923076923077
2020-03,Packaging or delivery issue,4,9.0,-5.0,-55.55555555555556
2020-04,Packaging or delivery issue,5,4.0,1.0,25.0
2020-05,Packaging or delivery issue,6,5.0,1.0,20.0
2020-06,Packaging or delivery issue,7,6.0,1.0,16.666666666666664
2020-07,Packaging or delivery issue,12,7.0,5.0,71.42857142857143
2020-08,Packaging or delivery issue,7,12.0,-5.0,-41.66666666666667
2020-09,Packaging or delivery issue,8,7.0,1.0,14.285714285714285
2020-10,Packaging or delivery issue,11,8.0,3.0,37.5
2020-11,Packaging or delivery issue,7,11.0,-4.0,-36.36363636363637
2020-12,Packaging or delivery issue,7,7.0,0.0,0.0
2021-01,Packaging or delivery issue,14,7.0,7.0,100.0
2021-02,Packaging or delivery issue,3,14.0,-11.0,-78.57142857142857
2021-03,Packaging or delivery issue,5,3.0,2.0,66.66666666666666
2021-04,Packaging or delivery issue,6,5.0,1.0,20.0
2021-05,Packaging or delivery issue,6,6.0,0.0,0.0
2021-06,Packaging or delivery issue,5,6.0,-1.0,-16.666666666666664
2021-07,Packaging or delivery issue,12,5.0,7.0,140.0
2021-08,Packaging or delivery issue,5,12.0,-7.0,-58.333333333333336
2021-09,Packaging or delivery issue,8,5.0,3.0,60.0
2021-10,Packaging or delivery issue,3,8.0,-5.0,-62.5
2021-11,Packaging or delivery issue,4,3.0,1.0,33.33333333333333
2021-12,Packaging or delivery issue,5,4.0,1.0,25.0
2022-01,Packaging or delivery issue,4,5.0,-1.0,-20.0
2022-02,Packaging or delivery issue,2,4.0,-2.0,-50.0
2022-03,Packaging or delivery issue,2,2.0,0.0,0.0
2022-04,Packaging or delivery issue,1,2.0,-1.0,-50.0
2022-05,Packaging or delivery issue,5,1.0,4.0,400.0
2022-06,Packaging or delivery issue,1,5.0,-4.0,-80.0
2022-07,Packaging or delivery issue,5,1.0,4.0,400.0
2022-08,Packaging or delivery issue,4,5.0,-1.0,-20.0
2022-09,Packaging or delivery issue,6,4.0,2.0,50.0
2022-10,Packaging or delivery issue,3,6.0,-3.0,-50.0
2022-11,Packaging or delivery issue,2,3.0,-1.0,-33.33333333333333
2022-12,Packaging or delivery issue,3,2.0,1.0,50.0
2023-01,Packaging or delivery issue,5,3.0,2.0,66.66666666666666
2023-02,Packaging or delivery issue,1,5.0,-4.0,-80.0
2023-03,Packaging or delivery issue,1,1.0,0.0,0.0
2004-01,Positive feedback,1,,,
2004-02,Positive feedback,1,1.0,0.0,0.0
2004-08,Positive feedback,1,1.0,0.0,0.0
2004-10,Positive feedback,1,1.0,0.0,0.0
2004-12,Positive feedback,1,1.0,0.0,0.0
2005-02,Positive feedback,1,1.0,0.0,0.0
2005-06,Positive feedback,1,1.0,0.0,0.0
2005-09,Positive feedback,1,1.0,0.0,0.0
2005-10,Positive feedback,2,1.0,1.0,100.0
2006-03,Positive feedback,2,2.0,0.0,0.0
2006-04,Positive feedback,1,2.0,-1.0,-50.0
2006-11,Positive feedback,2,1.0,1.0,100.0
2007-01,Positive feedback,2,2.0,0.0,0.0
2007-02,Positive feedback,1,2.0,-1.0,-50.0
2007-03,Positive feedback,1,1.0,0.0,0.0
2007-04,Positive feedback,1,1.0,0.0,0.0
2007-06,Positive feedback,1,1.0,0.0,0.0
2007-07,Positive feedback,1,1.0,0.0,0.0
2007-08,Positive feedback,1,1.0,0.0,0.0
2007-11,Positive feedback,3,1.0,2.0,200.0
2007-12,Positive feedback,3,3.0,0.0,0.0
2008-01,Positive feedback,2,3.0,-1.0,-33.33333333333333
2008-02,Positive feedback,1,2.0,-1.0,-50.0
2008-03,Positive feedback,2,1.0,1.0,100.0
2008-04,Positive feedback,1,2.0,-1.0,-50.0
2008-06,Positive feedback,2,1.0,1.0,100.0
2008-09,Positive feedback,1,2.0,-1.0,-50.0
2008-12,Positive feedback,1,1.0,0.0,0.0
2009-01,Positive feedback,3,1.0,2.0,200.0
2009-02,Positive feedback,1,3.0,-2.0,-66.66666666666666
2009-04,Positive feedback,1,1.0,0.0,0.0
2009-07,Positive feedback,2,1.0,1.0,100.0
2009-08,Positive feedback,1,2.0,-1.0,-50.0
2009-09,Positive feedback,1,1.0,0.0,0.0
2009-10,Positive feedback,2,1.0,1.0,100.0
2009-11,Positive feedback,2,2.0,0.0,0.0
2009-12,Positive feedback,3,2.0,1.0,50.0
2010-02,Positive feedback,2,3.0,-1.0,-33.33333333333333
2010-04,Positive feedback,4,2.0,2.0,100.0
2010-05,Positive feedback,1,4.0,-3.0,-75.0
2010-06,Positive feedback,5,1.0,4.0,400.0
2010-07,Positive feedback,4,5.0,-1.0,-20.0
2010-08,Positive feedback,3,4.0,-1.0,-25.0
2010-09,Positive feedback,2,3.0,-1.0,-33.33333333333333
2010-10,Positive feedback,2,2.0,0.0,0.0
2010-12,Positive feedback,4,2.0,2.0,100.0
2011-01,Positive feedback,2,4.0,-2.0,-50.0
2011-02,Positive feedback,1,2.0,-1.0,-50.0
2011-03,Positive feedback,1,1.0,0.0,0.0
2011-04,Positive feedback,3,1.0,2.0,200.0
2011-05,Positive feedback,4,3.0,1.0,33.33333333333333
2011-09,Positive feedback,3,4.0,-1.0,-25.0
2011-11,Positive feedback,3,3.0,0.0,0.0
2011-12,Positive feedback,2,3.0,-1.0,-33.33333333333333
2012-01,Positive feedback,1,2.0,-1.0,-50.0
2012-02,Positive feedback,2,1.0,1.0,100.0
2012-03,Positive feedback,2,2.0,0.0,0.0
2012-04,Positive feedback,4,2.0,2.0,100.0
2012-05,Positive feedback,1,4.0,-3.0,-75.0
2012-06,Positive feedback,3,1.0,2.0,200.0
2012-07,Positive feedback,2,3.0,-1.0,-33.33333333333333
2012-08,Positive feedback,2,2.0,0.0,0.0
2012-09,Positive feedback,4,2.0,2.0,100.0
2012-10,Positive feedback,1,4.0,-3.0,-75.0
2012-11,Positive feedback,4,1.0,3.0,300.0
2012-12,Positive feedback,8,4.0,4.0,100.0
2013-01,Positive feedback,11,8.0,3.0,37.5
2013-02,Positive feedback,9,11.0,-2.0,-18.181818181818183
2013-03,Positive feedback,11,9.0,2.0,22.22222222222222
2013-04,Positive feedback,10,11.0,-1.0,-9.090909090909092
2013-05,Positive feedback,5,10.0,-5.0,-50.0
2013-06,Positive feedback,8,5.0,3.0,60.0
2013-07,Positive feedback,11,8.0,3.0,37.5
2013-08,Positive feedback,13,11.0,2.0,18.181818181818183
2013-09,Positive feedback,9,13.0,-4.0,-30.76923076923077
2013-10,Positive feedback,5,9.0,-4.0,-44.44444444444444
2013-11,Positive feedback,5,5.0,0.0,0.0
2013-12,Positive feedback,11,5.0,6.0,120.0
2014-01,Positive feedback,13,11.0,2.0,18.181818181818183
2014-02,Positive feedback,13,13.0,0.0,0.0
2014-03,Positive feedback,10,13.0,-3.0,-23.076923076923077
2014-04,Positive feedback,11,10.0,1.0,10.0
2014-05,Positive feedback,16,11.0,5.0,45.45454545454545
2014-06,Positive feedback,19,16.0,3.0,18.75
2014-07,Positive feedback,21,19.0,2.0,10.526315789473683
2014-08,Positive feedback,30,21.0,9.0,42.857142857142854
2014-09,Positive feedback,27,30.0,-3.0,-10.0
2014-10,Positive feedback,23,27.0,-4.0,-14.814814814814813
2014-11,Positive feedback,25,23.0,2.0,8.695652173913043
2014-12,Positive feedback,42,25.0,17.0,68.0
2015-01,Positive feedback,46,42.0,4.0,9.523809523809524
2015-02,Positive feedback,46,46.0,0.0,0.0
2015-03,Positive feedback,55,46.0,9.0,19.565217391304348
2015-04,Positive feedback,51,55.0,-4.0,-7.2727272727272725
2015-05,Positive feedback,30,51.0,-21.0,-41.17647058823529
2015-06,Positive feedback,51,30.0,21.0,70.0
2015-07,Positive feedback,44,51.0,-7.0,-13.725490196078432
2015-08,Positive feedback,49,44.0,5.0,11.363636363636363
2015-09,Positive feedback,61,49.0,12.0,24.489795918367346
2015-10,Positive feedback,61,61.0,0.0,0.0
2015-11,Positive feedback,63,61.0,2.0,3.278688524590164
2015-12,Positive feedback,81,63.0,18.0,28.57142857142857
2016-01,Positive feedback,91,81.0,10.0,12.345679012345679
2016-02,Positive feedback,74,91.0,-17.0,-18.681318681318682
2016-03,Positive feedback,88,74.0,14.0,18.91891891891892
2016-04,Positive feedback,120,88.0,32.0,36.36363636363637
2016-05,Positive feedback,100,120.0,-20.0,-16.666666666666664
2016-06,Positive feedback,109,100.0,9.0,9.0
2016-07,Positive feedback,93,109.0,-16.0,-14.678899082568808
2016-08,Positive feedback,97,93.0,4.0,4.301075268817205
2016-09,Positive feedback,90,97.0,-7.0,-7.216494845360824
2016-10,Positive feedback,90,90.0,0.0,0.0
2016-11,Positive feedback,100,90.0,10.0,11.11111111111111
2016-12,Positive feedback,116,100.0,16.0,16.0
2017-01,Positive feedback,115,116.0,-1.0,-0.8620689655172413
2017-02,Positive feedback,101,115.0,-14.0,-12.173913043478262
2017-03,Positive feedback,108,101.0,7.0,6.9306930693069315
2017-04,Positive feedback,72,108.0,-36.0,-33.33333333333333
2017-05,Positive feedback,85,72.0,13.0,18.055555555555554
2017-06,Positive feedback,86,85.0,1.0,1.1764705882352942
2017-07,Positive feedback,86,86.0,0.0,0.0
2017-08,Positive feedback,73,86.0,-13.0,-15.11627906976744
2017-09,Positive feedback,75,73.0,2.0,2.73972602739726
